,REF_DATE,GEO,DGUID,Month of death,Characteristics,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
78,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Total, month of death",Number of deaths,Number,223,units,0,v21216408,4.1.1,7255.0,,,,0
79,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216409,4.1.2,100.0,,,,1
80,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, January",Number of deaths,Number,223,units,0,v21216410,4.2.1,661.0,,,,0
81,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216411,4.2.2,9.1,,,,1
82,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, February",Number of deaths,Number,223,units,0,v21216412,4.3.1,598.0,,,,0
83,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216413,4.3.2,8.2,,,,1
84,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, March",Number of deaths,Number,223,units,0,v21216414,4.4.1,681.0,,,,0
85,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216415,4.4.2,9.4,,,,1
86,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, April",Number of deaths,Number,223,units,0,v21216416,4.5.1,555.0,,,,0
87,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216417,4.5.2,7.6,,,,1
88,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, May",Number of deaths,Number,223,units,0,v21216418,4.6.1,618.0,,,,0
89,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216419,4.6.2,8.5,,,,1
90,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, June",Number of deaths,Number,223,units,0,v21216420,4.7.1,573.0,,,,0
91,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216421,4.7.2,7.9,,,,1
92,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, July",Number of deaths,Number,223,units,0,v21216422,4.8.1,590.0,,,,0
93,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216423,4.8.2,8.1,,,,1
94,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, August",Number of deaths,Number,223,units,0,v21216424,4.9.1,594.0,,,,0
95,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216425,4.9.2,8.2,,,,1
96,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, September",Number of deaths,Number,223,units,0,v21216426,4.10.1,558.0,,,,0
97,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216427,4.10.2,7.7,,,,1
98,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, October",Number of deaths,Number,223,units,0,v21216428,4.11.1,603.0,,,,0
99,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216429,4.11.2,8.3,,,,1
100,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, November",Number of deaths,Number,223,units,0,v21216430,4.12.1,583.0,,,,0
101,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216431,4.12.2,8.0,,,,1
102,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, December",Number of deaths,Number,223,units,0,v21216432,4.13.1,641.0,,,,0
103,1991-01-01,"Nova Scotia, place of residence",2016A000212,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216433,4.13.2,8.8,,,,1
104,1991-01-01,"New Brunswick, place of residence",2016A000213,"Total, month of death",Number of deaths,Number,223,units,0,v21216434,5.1.1,5469.0,,,,0
105,1991-01-01,"New Brunswick, place of residence",2016A000213,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216435,5.1.2,100.0,,,,1
106,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, January",Number of deaths,Number,223,units,0,v21216436,5.2.1,460.0,,,,0
107,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216437,5.2.2,8.4,,,,1
108,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, February",Number of deaths,Number,223,units,0,v21216438,5.3.1,426.0,,,,0
109,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216439,5.3.2,7.8,,,,1
110,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, March",Number of deaths,Number,223,units,0,v21216440,5.4.1,503.0,,,,0
111,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216441,5.4.2,9.2,,,,1
112,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, April",Number of deaths,Number,223,units,0,v21216442,5.5.1,472.0,,,,0
113,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216443,5.5.2,8.6,,,,1
114,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, May",Number of deaths,Number,223,units,0,v21216444,5.6.1,496.0,,,,0
115,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216445,5.6.2,9.1,,,,1
116,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, June",Number of deaths,Number,223,units,0,v21216446,5.7.1,421.0,,,,0
117,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216447,5.7.2,7.7,,,,1
118,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, July",Number of deaths,Number,223,units,0,v21216448,5.8.1,465.0,,,,0
119,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216449,5.8.2,8.5,,,,1
120,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, August",Number of deaths,Number,223,units,0,v21216450,5.9.1,421.0,,,,0
121,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216451,5.9.2,7.7,,,,1
122,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, September",Number of deaths,Number,223,units,0,v21216452,5.10.1,422.0,,,,0
123,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216453,5.10.2,7.7,,,,1
124,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, October",Number of deaths,Number,223,units,0,v21216454,5.11.1,420.0,,,,0
125,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216455,5.11.2,7.7,,,,1
126,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, November",Number of deaths,Number,223,units,0,v21216456,5.12.1,462.0,,,,0
127,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216457,5.12.2,8.4,,,,1
128,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, December",Number of deaths,Number,223,units,0,v21216458,5.13.1,501.0,,,,0
129,1991-01-01,"New Brunswick, place of residence",2016A000213,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216459,5.13.2,9.2,,,,1
130,1991-01-01,"Quebec, place of residence",2016A000224,"Total, month of death",Number of deaths,Number,223,units,0,v21216460,6.1.1,49121.0,,,,0
131,1991-01-01,"Quebec, place of residence",2016A000224,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216461,6.1.2,100.0,,,,1
132,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, January",Number of deaths,Number,223,units,0,v21216462,6.2.1,4480.0,,,,0
133,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216463,6.2.2,9.1,,,,1
134,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, February",Number of deaths,Number,223,units,0,v21216464,6.3.1,4090.0,,,,0
135,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216465,6.3.2,8.3,,,,1
136,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, March",Number of deaths,Number,223,units,0,v21216466,6.4.1,4225.0,,,,0
137,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216467,6.4.2,8.6,,,,1
138,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, April",Number of deaths,Number,223,units,0,v21216468,6.5.1,3971.0,,,,0
139,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216469,6.5.2,8.1,,,,1
140,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, May",Number of deaths,Number,223,units,0,v21216470,6.6.1,4144.0,,,,0
141,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216471,6.6.2,8.4,,,,1
142,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, June",Number of deaths,Number,223,units,0,v21216472,6.7.1,3879.0,,,,0
143,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216473,6.7.2,7.9,,,,1
144,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, July",Number of deaths,Number,223,units,0,v21216474,6.8.1,3956.0,,,,0
145,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216475,6.8.2,8.1,,,,1
146,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, August",Number of deaths,Number,223,units,0,v21216476,6.9.1,3754.0,,,,0
147,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216477,6.9.2,7.6,,,,1
148,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, September",Number of deaths,Number,223,units,0,v21216478,6.10.1,3654.0,,,,0
149,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216479,6.10.2,7.4,,,,1
150,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, October",Number of deaths,Number,223,units,0,v21216480,6.11.1,4102.0,,,,0
151,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216481,6.11.2,8.4,,,,1
152,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, November",Number of deaths,Number,223,units,0,v21216482,6.12.1,3985.0,,,,0
153,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216483,6.12.2,8.1,,,,1
154,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, December",Number of deaths,Number,223,units,0,v21216484,6.13.1,4881.0,,,,0
155,1991-01-01,"Quebec, place of residence",2016A000224,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216485,6.13.2,9.9,,,,1
156,1991-01-01,"Ontario, place of residence",2016A000235,"Total, month of death",Number of deaths,Number,223,units,0,v21216486,7.1.1,72917.0,,,,0
157,1991-01-01,"Ontario, place of residence",2016A000235,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216487,7.1.2,100.0,,,,1
158,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, January",Number of deaths,Number,223,units,0,v21216488,7.2.1,6542.0,,,,0
159,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, January",Percentage of deaths,Percentage,242,units,0,v21216489,7.2.2,9.0,,,,1
160,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, February",Number of deaths,Number,223,units,0,v21216490,7.3.1,5694.0,,,,0
161,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, February",Percentage of deaths,Percentage,242,units,0,v21216491,7.3.2,7.8,,,,1
162,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, March",Number of deaths,Number,223,units,0,v21216492,7.4.1,6357.0,,,,0
163,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, March",Percentage of deaths,Percentage,242,units,0,v21216493,7.4.2,8.7,,,,1
164,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, April",Number of deaths,Number,223,units,0,v21216494,7.5.1,5906.0,,,,0
165,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, April",Percentage of deaths,Percentage,242,units,0,v21216495,7.5.2,8.1,,,,1
166,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, May",Number of deaths,Number,223,units,0,v21216496,7.6.1,6010.0,,,,0
167,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, May",Percentage of deaths,Percentage,242,units,0,v21216497,7.6.2,8.2,,,,1
168,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, June",Number of deaths,Number,223,units,0,v21216498,7.7.1,5717.0,,,,0
169,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, June",Percentage of deaths,Percentage,242,units,0,v21216499,7.7.2,7.8,,,,1
170,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, July",Number of deaths,Number,223,units,0,v21216500,7.8.1,5856.0,,,,0
171,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, July",Percentage of deaths,Percentage,242,units,0,v21216501,7.8.2,8.0,,,,1
172,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, August",Number of deaths,Number,223,units,0,v21216502,7.9.1,5767.0,,,,0
173,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, August",Percentage of deaths,Percentage,242,units,0,v21216503,7.9.2,7.9,,,,1
174,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, September",Number of deaths,Number,223,units,0,v21216504,7.10.1,5764.0,,,,0
175,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, September",Percentage of deaths,Percentage,242,units,0,v21216505,7.10.2,7.9,,,,1
176,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, October",Number of deaths,Number,223,units,0,v21216506,7.11.1,6124.0,,,,0
177,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, October",Percentage of deaths,Percentage,242,units,0,v21216507,7.11.2,8.4,,,,1
178,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, November",Number of deaths,Number,223,units,0,v21216508,7.12.1,6203.0,,,,0
179,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, November",Percentage of deaths,Percentage,242,units,0,v21216509,7.12.2,8.5,,,,1
180,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, December",Number of deaths,Number,223,units,0,v21216510,7.13.1,6977.0,,,,0
181,1991-01-01,"Ontario, place of residence",2016A000235,"Month of death, December",Percentage of deaths,Percentage,242,units,0,v21216511,7.13.2,9.6,,,,1
182,1991-01-01,"Manitoba, place of residence",2016A000246,"Total, month of death",Number of deaths,Number,223,units,0,v21216512,8.1.1,8943.0,,,,0
183,1991-01-01,"Manitoba, place of residence",2016A000246,"Total, month of death",Percentage of deaths,Percentage,242,units,0,v21216513,8.1.2,100.0,,,,1
184,1991-01-01,"Manitoba, place of residence",2016A000246,"Month of death, January",Number of deaths,Number,223,units,0,v21216514,8.2.1,746.0,,,,0
